Time,Open,High,Low,Close,Volume,Date
1584453600000,5090.11,5245.08,5051.0,5223.47,7312.312383,2020-03-17 14:00:00
1584450000000,5206.25,5322.41,5071.8,5090.11,9510.615003,2020-03-17 13:00:00
1584446400000,5266.9,5350.0,5175.0,5206.25,5782.963584,2020-03-17 12:00:00
1584442800000,5295.0,5325.74,5229.08,5267.61,4340.171558,2020-03-17 11:00:00
1584439200000,5227.55,5305.0,5214.0,5293.45,3965.023835,2020-03-17 10:00:00
1584435600000,5282.43,5319.07,5160.0,5228.02,6905.803233,2020-03-17 09:00:00
1584432000000,5345.19,5440.0,5248.2,5285.01,7875.338605,2020-03-17 08:00:00
1584428400000,5273.4,5415.87,5256.87,5343.72,7331.949709,2020-03-17 07:00:00
1584424800000,5276.0,5314.8,5219.99,5272.23,3699.775144,2020-03-17 06:00:00
1584421200000,5263.95,5295.32,5236.88,5276.13,3086.852683,2020-03-17 05:00:00
1584417600000,5314.84,5325.0,5205.0,5262.76,4912.779804,2020-03-17 04:00:00
1584414000000,5281.58,5348.95,5230.13,5311.16,6152.490473,2020-03-17 03:00:00
1584410400000,5189.8,5300.0,5141.81,5281.58,7225.273713,2020-03-17 02:00:00
1584406800000,5070.81,5400.0,5050.3,5189.21,15212.282991,2020-03-17 01:00:00
1584403200000,5028.86,5094.13,4921.45,5070.72,5537.797635,2020-03-17 00:00:00
1584399600000,4921.88,5050.0,4900.51,5028.97,4113.83046,2020-03-16 23:00:00
1584396000000,4962.01,5060.0,4850.0,4921.88,5755.610453,2020-03-16 22:00:00
1584392400000,4896.61,4992.81,4850.77,4962.0,3180.742734,2020-03-16 21:00:00
1584388800000,4942.5,5035.0,4820.0,4898.33,7084.107916,2020-03-16 20:00:00
1584385200000,5119.12,5135.38,4828.0,4939.25,9657.708945,2020-03-16 19:00:00
1584381600000,5067.41,5144.0,5019.0,5119.03,3993.489169,2020-03-16 18:00:00
1584378000000,5011.13,5090.71,4983.63,5068.73,3941.62348,2020-03-16 17:00:00
1584374400000,5144.53,5200.0,4960.69,5011.13,8742.054856,2020-03-16 16:00:00
1584370800000,4937.43,5175.0,4917.91,5151.39,12007.517295,2020-03-16 15:00:00
1584367200000,4840.16,5123.05,4729.98,4938.68,19323.544733,2020-03-16 14:00:00
1584363600000,4762.25,4901.19,4500.0,4840.16,19021.252731,2020-03-16 13:00:00
1584360000000,4565.63,4930.28,4545.0,4763.32,18250.339607,2020-03-16 12:00:00
1584356400000,4452.85,4610.0,4442.12,4565.59,10307.979476,2020-03-16 11:00:00
1584352800000,4820.07,4822.74,4444.0,4450.95,22781.490979,2020-03-16 10:00:00
1584349200000,4915.45,4918.14,4800.0,4820.6,7474.757477,2020-03-16 09:00:00
1584345600000,4789.99,4950.0,4777.0,4914.6,9734.070142,2020-03-16 08:00:00
1584342000000,5017.5,5018.45,4778.0,4785.67,15281.149654,2020-03-16 07:00:00
1584338400000,5158.31,5160.0,4879.0,5015.09,17667.377598,2020-03-16 06:00:00
1584334800000,5244.83,5278.0,5128.76,5158.42,5282.985916,2020-03-16 05:00:00
1584331200000,5272.23,5297.8,5220.0,5243.88,2897.889358,2020-03-16 04:00:00
1584327600000,5335.63,5337.08,5250.0,5273.34,3043.244794,2020-03-16 03:00:00
1584324000000,5301.01,5364.98,5288.46,5335.63,4448.196747,2020-03-16 02:00:00
1584320400000,5254.83,5311.3,5215.54,5301.5,3413.008304,2020-03-16 01:00:00
1584316800000,5360.33,5365.42,5188.0,5254.74,9872.949936,2020-03-16 00:00:00
1584313200000,5369.01,5451.43,5320.0,5361.3,7863.16646,2020-03-15 23:00:00
1584309600000,5906.85,5908.45,5285.0,5367.76,22974.081197,2020-03-15 22:00:00
1584306000000,5186.43,5940.0,5181.58,5903.77,22376.049094,2020-03-15 21:00:00
1584302400000,5312.33,5325.0,5160.0,5186.43,5748.761092,2020-03-15 20:00:00
1584298800000,5307.62,5373.93,5292.0,5312.35,2993.432007,2020-03-15 19:00:00
1584295200000,5302.78,5335.53,5275.0,5307.63,2336.060393,2020-03-15 18:00:00
1584291600000,5292.1,5397.0,5288.24,5302.71,3521.495998,2020-03-15 17:00:00
1584288000000,5324.92,5349.98,5260.0,5291.33,3747.991093,2020-03-15 16:00:00
1584284400000,5314.47,5358.16,5290.98,5324.48,3171.329227,2020-03-15 15:00:00
1584280800000,5333.78,5355.24,5221.0,5314.77,4813.64054,2020-03-15 14:00:00
1584277200000,5307.71,5370.03,5294.13,5333.78,2951.800205,2020-03-15 13:00:00
1584273600000,5430.0,5594.0,5280.0,5307.78,12252.228406,2020-03-15 12:00:00
1584270000000,5431.22,5452.93,5385.0,5429.99,4050.096896,2020-03-15 11:00:00
1584266400000,5244.91,5487.0,5235.51,5430.88,9637.892785,2020-03-15 10:00:00
1584262800000,5233.05,5267.7,5213.16,5244.91,2594.974424,2020-03-15 09:00:00
1584259200000,5272.35,5273.28,5216.02,5230.24,3140.469957,2020-03-15 08:00:00
1584255600000,5293.41,5332.04,5240.95,5272.23,2737.665311,2020-03-15 07:00:00
1584252000000,5251.95,5310.0,5250.0,5293.5,2255.98081,2020-03-15 06:00:00
1584248400000,5256.45,5284.72,5217.74,5252.24,1792.826473,2020-03-15 05:00:00
1584244800000,5178.64,5284.0,5178.64,5255.8,3369.298817,2020-03-15 04:00:00
1584241200000,5197.29,5218.98,5165.0,5178.64,2221.677411,2020-03-15 03:00:00
1584237600000,5152.59,5222.23,5146.58,5197.47,2941.038618,2020-03-15 02:00:00
1584234000000,5203.07,5228.57,5140.0,5153.42,3801.633937,2020-03-15 01:00:00
1584230400000,5172.48,5273.37,5093.1,5200.07,6622.555383,2020-03-15 00:00:00
1584226800000,5273.08,5277.37,5055.13,5172.06,10649.489183,2020-03-14 23:00:00
1584223200000,5302.58,5336.98,5195.32,5273.08,5390.187138,2020-03-14 22:00:00
1584219600000,5336.83,5352.79,5280.0,5300.76,2699.326289,2020-03-14 21:00:00
1584216000000,5386.84,5423.5,5292.24,5334.31,4533.743272,2020-03-14 20:00:00
1584212400000,5443.63,5484.21,5375.73,5386.85,2654.885829,2020-03-14 19:00:00
1584208800000,5397.5,5498.0,5382.49,5443.8,4779.156615,2020-03-14 18:00:00
1584205200000,5388.2,5408.33,5345.27,5396.66,2619.629883,2020-03-14 17:00:00
1584201600000,5310.96,5470.0,5256.0,5387.61,7913.086381,2020-03-14 16:00:00
1584198000000,5369.56,5416.98,5301.0,5311.38,4634.882294,2020-03-14 15:00:00
1584194400000,5300.84,5399.0,5279.73,5369.57,3693.027122,2020-03-14 14:00:00
1584190800000,5423.24,5448.97,5268.82,5300.0,5545.238521,2020-03-14 13:00:00
1584187200000,5448.23,5450.0,5286.79,5425.53,5528.296249,2020-03-14 12:00:00
1584183600000,5385.03,5490.0,5350.0,5448.38,6066.382447,2020-03-14 11:00:00
1584180000000,5232.68,5409.0,5173.0,5385.03,7834.355573,2020-03-14 10:00:00
1584176400000,5351.61,5373.0,5192.0,5233.7,5419.035802,2020-03-14 09:00:00
1584172800000,5500.61,5530.0,5266.66,5351.61,9464.654381,2020-03-14 08:00:00
1584169200000,5426.94,5510.0,5400.0,5500.4,4067.489144,2020-03-14 07:00:00
1584165600000,5431.02,5495.0,5371.76,5426.0,4968.628064,2020-03-14 06:00:00
1584162000000,5506.53,5543.99,5417.0,5431.06,5518.881285,2020-03-14 05:00:00
1584158400000,5573.67,5573.71,5400.0,5506.94,6556.159484,2020-03-14 04:00:00
1584154800000,5547.39,5640.52,5515.67,5573.97,7336.21463,2020-03-14 03:00:00
1584151200000,5482.84,5570.0,5394.01,5548.5,6079.578493,2020-03-14 02:00:00
1584147600000,5452.1,5518.0,5322.02,5482.84,6242.94743,2020-03-14 01:00:00
1584144000000,5576.05,5580.0,5394.86,5451.3,6714.860465,2020-03-14 00:00:00
1584140400000,5603.36,5699.0,5437.93,5578.6,8822.282876,2020-03-13 23:00:00
1584136800000,5499.89,5620.0,5444.96,5601.24,6643.845633,2020-03-13 22:00:00
1584133200000,5356.86,5600.0,5356.47,5499.89,8516.573268,2020-03-13 21:00:00
1584129600000,5397.16,5516.54,5187.39,5356.47,12423.320181,2020-03-13 20:00:00
1584126000000,4981.96,5525.0,4863.23,5391.08,20750.447708,2020-03-13 19:00:00
1584122400000,5184.81,5199.0,4807.0,4985.34,17472.587988,2020-03-13 18:00:00
1584118800000,5196.77,5340.0,5101.2,5183.87,9597.736361,2020-03-13 17:00:00
1584115200000,5207.63,5400.0,5035.0,5196.73,15843.864384,2020-03-13 16:00:00
1584111600000,5395.87,5469.0,4920.0,5212.37,26614.425787,2020-03-13 15:00:00
1584108000000,5608.65,5847.64,5300.0,5394.36,16497.11918,2020-03-13 14:00:00
1584104400000,5529.32,5955.0,5462.0,5608.0,21139.34349,2020-03-13 13:00:00
1584100800000,5403.56,5678.44,5355.47,5525.06,12106.80424,2020-03-13 12:00:00
1584097200000,5595.59,5599.0,5266.0,5403.56,12832.6967,2020-03-13 11:00:00
1584093600000,5589.52,5657.62,5420.0,5595.31,12182.240051,2020-03-13 10:00:00
1584090000000,5279.21,5700.0,5268.56,5584.33,14483.531901,2020-03-13 09:00:00
1584086400000,5386.11,5600.0,5126.0,5276.38,16157.921186,2020-03-13 08:00:00
1584082800000,5199.83,5444.0,5025.0,5385.87,11890.038859,2020-03-13 07:00:00
1584079200000,4959.16,5245.0,4858.0,5199.98,12093.431843,2020-03-13 06:00:00
1584075600000,4771.5,5200.0,4759.45,4956.52,14370.861433,2020-03-13 05:00:00
1584072000000,5159.09,5181.0,4674.0,4774.48,13631.519755,2020-03-13 04:00:00
1584068400000,4848.7,5523.23,4808.42,5167.26,24680.067351,2020-03-13 03:00:00
1584064800000,4131.23,5276.97,3782.13,4848.71,41434.059072,2020-03-13 02:00:00
1584061200000,4656.71,4769.57,4082.0,4130.64,23916.856575,2020-03-13 01:00:00
1584057600000,4800.01,5049.0,4521.0,4654.72,28100.097942,2020-03-13 00:00:00
1584054000000,5800.27,5802.3,4410.0,4800.0,39952.350755,2020-03-12 23:00:00
1584050400000,5819.12,5965.71,5720.0,5802.7,8612.070357,2020-03-12 22:00:00
1584046800000,5743.7,5890.34,5565.0,5819.97,10708.062403,2020-03-12 21:00:00
1584043200000,6036.28,6059.99,5617.85,5743.43,13593.384537,2020-03-12 20:00:00
1584039600000,5985.62,6095.08,5974.92,6037.45,4024.703003,2020-03-12 19:00:00
1584036000000,6113.2,6150.0,5965.84,5985.61,5389.560168,2020-03-12 18:00:00
1584032400000,6088.59,6229.97,6063.99,6114.61,8343.860533,2020-03-12 17:00:00
1584028800000,6132.13,6187.41,5947.72,6088.59,9297.49684,2020-03-12 16:00:00
1584025200000,6090.48,6150.0,6018.02,6132.13,7856.651086,2020-03-12 15:00:00
1584021600000,5995.93,6201.0,5900.0,6094.19,13801.78566,2020-03-12 14:00:00
