,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00025163,0.00025453,0.00025156,0.00025453,109574.0,2020-02-10 15:00:00
1,1581343200000,0.00026141,0.00026141,0.0002477,0.00025163,123205.0,2020-02-10 14:00:00
2,1581339600000,0.00026356,0.00026588,0.00025975,0.00025975,57676.0,2020-02-10 13:00:00
3,1581336000000,0.00026319,0.00026696,0.00026112,0.00026588,91811.0,2020-02-10 12:00:00
4,1581332400000,0.00025905,0.0002631,0.00025711,0.0002626,237673.0,2020-02-10 11:00:00
5,1581328800000,0.00025617,0.00026049,0.00025584,0.00025975,97806.0,2020-02-10 10:00:00
6,1581325200000,0.00025702,0.00025894,0.00025604,0.00025661,23707.0,2020-02-10 09:00:00
7,1581321600000,0.00026203,0.00026294,0.00025502,0.00025844,75243.0,2020-02-10 08:00:00
8,1581318000000,0.0002648,0.00026488,0.0002605,0.00026294,92593.0,2020-02-10 07:00:00
9,1581314400000,0.00026335,0.0002646,0.00025569,0.00026452,291727.0,2020-02-10 06:00:00
10,1581310800000,0.00026439,0.00026439,0.00026,0.00026118,130073.0,2020-02-10 05:00:00
11,1581307200000,0.00026417,0.00026732,0.00026213,0.00026243,11968.0,2020-02-10 04:00:00
12,1581303600000,0.00026757,0.0002695,0.00026278,0.00026494,57114.0,2020-02-10 03:00:00
13,1581300000000,0.00027203,0.00027203,0.000261,0.00026595,243267.0,2020-02-10 02:00:00
14,1581296400000,0.0002765,0.00027971,0.00026684,0.00027091,229304.0,2020-02-10 01:00:00
15,1581292800000,0.00028399,0.00028674,0.00027683,0.00027683,66093.0,2020-02-10 00:00:00
16,1581289200000,0.00028436,0.00028747,0.00028297,0.00028669,68545.0,2020-02-09 23:00:00
17,1581285600000,0.00028358,0.00028857,0.00028198,0.00028512,30394.0,2020-02-09 22:00:00
18,1581282000000,0.00028328,0.00028517,0.00027992,0.00028472,47731.0,2020-02-09 21:00:00
19,1581278400000,0.0002893,0.00029227,0.00028203,0.00028527,131757.0,2020-02-09 20:00:00
20,1581274800000,0.00028585,0.00029878,0.00028553,0.00029163,98281.0,2020-02-09 19:00:00
21,1581271200000,0.00028859,0.00029887,0.00028414,0.00028584,177880.0,2020-02-09 18:00:00
22,1581267600000,0.00028309,0.00028859,0.00027496,0.00028747,317870.0,2020-02-09 17:00:00
23,1581264000000,0.00027612,0.00028857,0.00027501,0.00028381,192062.0,2020-02-09 16:00:00
24,1581260400000,0.00028051,0.0002963,0.00027388,0.00027616,289162.0,2020-02-09 15:00:00
25,1581256800000,0.00027998,0.00028853,0.00027591,0.0002786,238919.0,2020-02-09 14:00:00
26,1581253200000,0.00028471,0.0002852,0.00027499,0.00027981,127029.0,2020-02-09 13:00:00
27,1581249600000,0.000291,0.000291,0.00028208,0.00028208,126306.0,2020-02-09 12:00:00
28,1581246000000,0.00029271,0.00029567,0.00028238,0.0002923,85194.0,2020-02-09 11:00:00
