,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00010459,0.00010586,0.00010459,0.00010586,658.0,2020-02-10 15:00:00
1,1581343200000,0.00010592,0.00010592,0.00010459,0.00010589,19388.0,2020-02-10 14:00:00
2,1581339600000,0.00010523,0.00010619,0.00010519,0.00010592,3621.0,2020-02-10 13:00:00
3,1581336000000,0.00010539,0.00010595,0.00010539,0.00010595,8274.0,2020-02-10 12:00:00
4,1581332400000,0.00010539,0.00010539,0.00010539,0.00010539,0.0,2020-02-10 11:00:00
5,1581328800000,0.00010608,0.00010608,0.00010537,0.00010539,26278.0,2020-02-10 10:00:00
6,1581325200000,0.00010541,0.00010651,0.00010492,0.00010651,21699.0,2020-02-10 09:00:00
7,1581321600000,0.0001049,0.00010654,0.00010445,0.0001054,74959.0,2020-02-10 08:00:00
8,1581318000000,0.000104,0.0001049,0.00010322,0.0001049,655669.0,2020-02-10 07:00:00
9,1581314400000,0.00010441,0.00010445,0.00010221,0.00010431,846561.0,2020-02-10 06:00:00
10,1581310800000,0.000105,0.00010568,0.0001045,0.0001045,20652.0,2020-02-10 05:00:00
11,1581307200000,0.0001053,0.00010577,0.00010501,0.00010501,10976.0,2020-02-10 04:00:00
12,1581303600000,0.00010518,0.00010528,0.00010439,0.00010526,18677.0,2020-02-10 03:00:00
13,1581300000000,0.00010477,0.00010477,0.00010477,0.00010477,50740.0,2020-02-10 02:00:00
14,1581296400000,0.0001038,0.00010466,0.0001038,0.00010466,2625.0,2020-02-10 01:00:00
15,1581292800000,0.00010336,0.0001038,0.00010333,0.0001038,1234.0,2020-02-10 00:00:00
16,1581289200000,0.00010365,0.0001038,0.00010355,0.0001038,5288.0,2020-02-09 23:00:00
17,1581285600000,0.00010459,0.00010459,0.00010457,0.00010457,1759.0,2020-02-09 22:00:00
18,1581282000000,0.00010499,0.00010517,0.00010499,0.00010517,642174.0,2020-02-09 21:00:00
19,1581278400000,0.000105,0.00010509,0.00010395,0.00010509,685552.0,2020-02-09 20:00:00
20,1581274800000,0.00010452,0.00010479,0.00010452,0.00010479,3385.0,2020-02-09 19:00:00
21,1581271200000,0.00010451,0.00010451,0.00010451,0.00010451,0.0,2020-02-09 18:00:00
22,1581267600000,0.00010399,0.00010451,0.00010399,0.00010451,49594.0,2020-02-09 17:00:00
23,1581264000000,0.00010417,0.00010452,0.00010393,0.000104,558535.0,2020-02-09 16:00:00
24,1581260400000,0.00010416,0.00010452,0.00010193,0.00010264,4241.0,2020-02-09 15:00:00
